name,customizable_games,children's_games,thematic_games,strategy_games,abstract_games,family_games,wargames,party_games
Gloomhaven,0,0,1,1,0,0,0,0
Pandemic Legacy: Season 1,0,0,1,1,0,0,0,0
Brass: Birmingham,0,0,0,1,0,0,0,0
Terraforming Mars,0,0,0,1,0,0,0,0
Twilight Imperium: Fourth Edition,0,0,1,1,0,0,0,0
Gloomhaven: Jaws of the Lion,0,0,1,1,0,0,0,0
Through the Ages: A New Story of Civilization,0,0,0,1,0,0,0,0
Gaia Project,0,0,0,1,0,0,0,0
Star Wars: Rebellion,0,0,1,0,0,0,0,0
Twilight Struggle,0,0,0,1,0,0,1,0
Great Western Trail,0,0,0,1,0,0,0,0
War of the Ring: Second Edition,0,0,1,0,0,0,1,0
Spirit Island,0,0,0,1,0,0,0,0
Scythe,0,0,0,1,0,0,0,0
The Castles of Burgundy,0,0,0,1,0,0,0,0
Terra Mystica,0,0,0,1,0,0,0,0
7 Wonders Duel,0,0,0,1,0,0,0,0
Concordia,0,0,0,1,0,0,0,0
Brass: Lancashire,0,0,0,1,0,0,0,0
Wingspan,0,0,0,1,0,1,0,0
A Feast for Odin,0,0,0,1,0,0,0,0
Arkham Horror: The Card Game,1,0,1,0,0,0,0,0
Viticulture Essential Edition,0,0,0,1,0,0,0,0
Nemesis,0,0,1,0,0,0,0,0
Orléans,0,0,0,1,0,0,0,0
Mage Knight Board Game,0,0,1,1,0,0,0,0
Root,0,0,0,1,0,0,1,0
Puerto Rico,0,0,0,1,0,0,0,0
Food Chain Magnate,0,0,0,1,0,0,0,0
Caverna: The Cave Farmers,0,0,0,1,0,0,0,0
Agricola,0,0,0,1,0,0,0,0
Blood Rage,0,0,0,1,0,0,0,0
Mansions of Madness: Second Edition,0,0,1,0,0,0,0,0
The 7th Continent,0,0,1,0,0,0,0,0
Pandemic Legacy: Season 2,0,0,1,1,0,0,0,0
Everdell,0,0,0,1,0,1,0,0
Maracaibo,0,0,0,1,0,0,0,0
Kingdom Death: Monster,0,0,1,0,0,0,0,0
Power Grid,0,0,0,1,0,0,0,0
Tzolk'in: The Mayan Calendar,0,0,0,1,0,0,0,0
The Crew: The Quest for Planet Nine,0,0,0,1,0,1,0,0
Mechs vs. Minions,0,0,1,1,0,0,0,0
Underwater Cities,0,0,0,1,0,0,0,0
Star Wars: Imperial Assault,0,0,1,0,0,0,0,0
Clans of Caledonia,0,0,0,1,0,0,0,0
Anachrony,0,0,0,1,0,0,0,0
Le Havre,0,0,0,1,0,0,0,0
Too Many Bones,0,0,1,1,0,0,0,0
Through the Ages: A Story of Civilization,0,0,0,1,0,0,0,0
Azul,0,0,0,0,1,1,0,0
Marvel Champions: The Card Game,1,0,0,0,0,0,0,0
Eclipse,0,0,0,1,0,0,0,0
Clank! Legacy: Acquisitions Incorporated,0,0,1,0,0,0,0,0
Android: Netrunner,1,0,0,0,0,0,0,0
